iter	RMSE
0	1898417.391
1	1852300.048
2	1808586.76
3	1767977.665
4	1725624.222
5	1686911.502
6	1648477.315
7	1612727.942
8	1585029.534
9	1546911.64
10	1517224.22
11	1492701.504
12	1467770.098
13	1442634.63
14	1415851.367
15	1392010.922
16	1370131.05
17	1348162.684
18	1327619.519
19	1303881.268
20	1283306.119
21	1268692.019
22	1250241.386
23	1235302.254
24	1216422.428
25	1202232.751
26	1186103.487
27	1172611.472
28	1157022.296
29	1142016.456
30	1127483.896
31	1110317.876
32	1096126.775
33	1083459.194
34	1071819.623
35	1054901.764
36	1043612.316
37	1029206.856
38	1016737.728
39	1004025.006
40	993779.0818
41	982684.3717
42	975357.1514
43	964535.1044
44	959263.005
45	946871.7294
46	939344.5265
47	933876.7194
48	926118.8555
49	923656.0746
50	918332.2716
51	907388.943
52	902847.3561
53	896413.4173
54	892134.6083
55	884169.8905
56	873998.2962
57	868727.217
58	865464.8892
59	858593.6847
60	850274.3256
61	845282.6776
62	841569.3004
63	837142.1737
64	832341.1901
65	828878.4682
66	823417.8801
67	813778.9562
68	807108.2674
69	807098.2726
70	805135.4083
71	796818.1623
72	788165.0646
73	785746.4503
74	782809.9624
75	781080.6406
76	777493.7911
77	771689.0882
78	770098.7592
79	766970.6318
80	766964.5458
81	760863.999
82	759821.8528
83	757218.4674
84	751767.9986
85	748192.5584
86	740619.3012
87	737545.1967
88	736497.6972
89	731278.2336
90	730151.9252
91	727622.7977
92	726329.6396
93	723378.1825
94	720907.1952
95	719591.5581
96	718605.0847
97	717603.2113
98	716928.5902
99	712480.1258
100	712437.8421
101	706894.384
102	704296.7738
103	699526.2306
104	695985.3793
105	693531.6024
106	690290.0674
107	689014.9542
108	685459.3748
109	684145.8405
110	679948.9398
111	679887.7476
112	675475.3833
113	674602.1636
114	669776.5272
115	664863.397
116	663943.3925
117	659749.6689
118	657834.2068
119	656653.726
120	652961.9028
121	648988.5295
122	647712.8569
123	645780.7996
124	643503.388
125	641772.3568
126	637375.2714
127	636516.8599
128	632665.9009
129	631958.4749
130	625842.1425
131	625273.7622
132	621201.0427
133	620007.6702
134	619529.8634
135	619526.8506
136	619524.0935
137	617922.8149
138	612685.8689
139	611813.2844
140	610833.7312
141	608728.3788
142	603207.5236
143	602101.5973
144	601011.6043
145	599572.6265
146	598106.4874
147	597475.8613
148	596848.9862
149	593094.555
150	588386.0386
151	583482.1339
152	579711.2474
153	578176.5874
154	575561.4543
155	574342.8021
156	573983.4757
157	573153.7426
158	573151.4948
