iter	Passed	Remaining
0	50	50332
1	51	25943
2	54	18035
3	55	13873
4	57	11416
5	58	9770
6	60	8622
7	62	7713
8	62	6884
9	64	6340
10	65	5886
11	67	5527
12	68	5189
13	69	4925
14	71	4690
15	72	4465
16	73	4270
17	75	4099
18	76	3965
19	78	3823
20	79	3690
21	79	3536
22	80	3434
23	81	3316
24	83	3242
25	84	3182
26	86	3111
27	87	3050
28	89	2992
29	90	2925
30	90	2843
31	92	2794
32	93	2745
33	94	2681
34	97	2679
35	98	2634
36	100	2606
37	101	2574
38	103	2544
39	104	2515
40	106	2487
41	107	2461
42	108	2421
43	110	2394
44	113	2409
45	117	2437
46	122	2482
47	123	2457
48	124	2425
49	125	2383
50	127	2364
51	128	2338
52	130	2329
53	131	2308
54	133	2290
55	134	2274
56	136	2256
57	137	2229
58	138	2210
59	139	2192
60	141	2172
61	142	2157
62	144	2154
63	147	2156
64	150	2170
65	153	2176
66	157	2191
67	159	2180
68	161	2179
69	161	2151
70	164	2150
71	166	2144
72	168	2133
73	169	2124
74	171	2111
75	171	2086
76	173	2076
77	174	2065
78	177	2064
79	180	2072
80	180	2050
81	183	2058
82	185	2051
83	187	2046
84	189	2035
85	190	2026
86	192	2015
87	194	2013
88	195	2005
89	197	2001
90	200	1999
91	201	1990
92	203	1987
93	205	1977
94	206	1968
95	208	1958
96	209	1950
97	210	1934
98	210	1918
99	212	1910
100	212	1893
101	213	1883
102	215	1876
103	216	1868
104	218	1866
105	220	1859
106	221	1848
107	222	1839
108	224	1833
109	226	1830
110	227	1823
111	229	1818
112	231	1816
113	233	1813
114	234	1806
115	236	1799
116	237	1792
117	238	1784
118	240	1779
119	241	1773
120	243	1770
121	245	1766
122	247	1762
123	248	1756
124	249	1749
125	251	1746
126	253	1739
127	254	1732
128	255	1727
129	257	1723
130	258	1716
131	260	1711
132	261	1705
133	262	1698
134	264	1692
135	264	1680
136	264	1667
137	268	1677
138	269	1670
139	270	1663
140	272	1657
141	273	1649
142	274	1642
143	275	1637
144	276	1632
145	278	1627
146	279	1621
147	280	1615
148	281	1608
149	283	1605
150	284	1600
151	285	1594
152	286	1587
153	287	1581
154	289	1576
155	290	1571
156	291	1567
157	292	1561
158	293	1551
159	294	1545
160	294	1535
161	295	1530
162	296	1522
163	296	1512
164	298	1510
165	300	1507
166	302	1508
167	304	1505
168	305	1502
169	306	1497
170	306	1488
171	308	1485
172	309	1481
173	311	1477
174	312	1472
175	313	1469
176	315	1464
177	315	1456
178	316	1452
179	318	1449
180	318	1441
181	319	1436
182	321	1433
183	322	1430
184	324	1428
185	325	1426
186	327	1422
187	328	1418
188	329	1414
189	330	1410
190	332	1407
191	334	1405
192	334	1398
193	335	1394
194	337	1394
195	339	1391
196	340	1388
197	342	1386
198	343	1382
199	344	1378
200	345	1374
201	347	1372
202	349	1371
203	351	1370
204	353	1372
205	356	1373
206	358	1372
207	359	1369
208	361	1368
209	363	1365
210	364	1363
211	365	1359
212	367	1359
213	369	1355
214	370	1353
215	371	1350
216	373	1347
217	374	1344
218	376	1341
219	377	1338
220	378	1335
221	380	1331
222	381	1329
223	384	1331
224	385	1328
225	386	1324
226	387	1321
227	389	1317
228	390	1314
229	391	1310
230	393	1308
231	394	1306
232	396	1303
233	397	1300
234	398	1297
235	400	1295
236	401	1292
237	403	1290
238	404	1288
239	406	1285
240	407	1283
241	409	1281
242	410	1278
243	411	1275
244	413	1273
245	414	1270
246	415	1267
247	417	1264
248	418	1262
249	419	1258
250	421	1256
251	422	1253
252	423	1250
253	424	1248
254	426	1245
255	427	1243
256	429	1240
257	430	1238
258	431	1235
259	433	1233
260	434	1230
261	435	1227
262	436	1224
263	438	1222
264	439	1219
265	441	1217
266	442	1215
267	444	1213
268	445	1211
269	447	1209
270	449	1207
271	450	1205
272	451	1202
273	452	1199
274	454	1197
275	455	1194
276	456	1191
277	458	1189
278	459	1187
279	460	1185
280	462	1183
281	463	1180
282	465	1178
283	466	1176
284	467	1173
285	469	1172
286	470	1169
287	472	1167
288	473	1165
289	474	1162
290	476	1160
291	477	1157
292	479	1156
293	480	1154
294	482	1152
295	484	1152
296	485	1150
297	487	1148
298	489	1146
299	490	1144
300	493	1145
301	494	1142
302	495	1140
303	497	1138
304	498	1136
305	500	1134
306	501	1132
307	503	1130
308	504	1129
309	506	1127
310	507	1125
311	508	1122
312	511	1123
313	513	1120
314	514	1118
315	515	1116
316	517	1113
317	518	1111
318	519	1108
319	520	1105
320	521	1104
321	523	1101
322	525	1100
323	526	1099
324	528	1097
325	529	1095
326	531	1094
327	533	1093
328	535	1091
329	536	1089
330	538	1087
331	539	1085
332	541	1083
333	542	1082
334	544	1080
335	545	1078
336	547	1076
337	548	1074
338	549	1071
339	551	1069
340	552	1067
341	553	1065
342	555	1063
343	556	1062
344	558	1059
345	559	1057
346	561	1056
347	563	1055
348	564	1053
349	565	1051
350	567	1048
351	568	1046
352	570	1044
353	572	1044
354	574	1043
355	576	1042
356	577	1040
357	579	1038
358	580	1036
359	581	1034
360	583	1032
361	584	1030
362	586	1028
363	587	1027
364	590	1027
365	591	1025
366	595	1026
367	598	1027
368	599	1025
369	601	1023
370	603	1022
371	604	1020
372	605	1018
373	606	1015
374	608	1013
375	609	1012
376	611	1010
377	612	1007
378	613	1005
379	615	1004
380	617	1002
381	618	1001
382	620	999
383	621	997
384	623	995
385	624	993
386	626	991
387	627	989
388	628	987
389	629	985
390	631	983
391	632	981
392	634	979
393	635	977
394	637	976
395	639	975
396	640	973
397	642	971
398	643	969
399	644	966
400	645	964
401	647	962
402	649	961
403	650	960
404	652	958
405	653	956
406	655	954
407	656	952
408	658	951
409	659	949
410	661	947
411	662	946
412	665	945
413	667	944
414	668	942
415	670	940
416	671	939
417	672	936
418	674	934
419	675	933
420	677	931
421	678	929
422	680	927
423	682	926
424	683	924
425	684	922
426	686	920
427	687	918
428	689	917
429	691	916
430	692	914
431	694	912
432	695	910
433	696	908
434	698	906
435	699	904
436	700	902
437	701	900
438	703	898
439	704	897
440	706	896
441	709	895
442	710	893
443	711	891
444	713	889
445	714	887
446	715	885
447	716	883
448	718	881
449	719	878
450	720	876
451	721	875
452	723	873
453	724	870
454	725	868
455	726	866
456	727	864
457	729	862
458	730	860
459	731	858
460	732	856
461	734	855
462	735	853
463	737	851
464	738	849
465	739	847
466	741	845
467	742	843
468	743	841
469	745	840
470	746	838
471	748	836
472	749	835
473	750	833
474	752	831
475	753	829
476	755	828
477	756	826
478	758	824
479	759	822
480	760	820
481	762	818
482	763	817
483	764	815
484	766	813
485	767	811
486	768	810
487	770	808
488	771	806
489	773	804
490	774	802
491	775	801
492	778	800
493	779	798
494	780	796
495	782	794
496	783	792
497	784	791
498	785	789
499	787	787
500	788	785
501	789	783
502	791	781
503	792	779
504	794	778
505	795	776
506	797	775
507	798	773
508	800	771
509	801	769
510	803	768
511	804	766
512	806	765
513	807	763
514	809	762
515	811	760
516	812	759
517	814	757
518	815	755
519	816	754
520	818	752
521	819	750
522	820	748
523	822	747
524	824	745
525	826	744
526	827	742
527	829	741
528	830	739
529	832	737
530	833	736
531	837	736
532	840	736
533	843	735
534	845	734
535	846	732
536	848	731
537	849	729
538	851	728
539	853	726
540	854	724
541	856	723
542	857	721
543	859	720
544	861	719
545	863	717
546	864	715
547	865	713
548	867	712
549	868	710
550	870	708
551	871	707
