full_sq,life_sq,build_year,num_room,kitch_sq,year,gdp_quart_growth,timestamp,floor,max_floor,material,railroad_station_walk_km,public_transport_station_km,university_km,workplaces_km,shopping_centers_km,office_km,sadovoe_km,bulvar_ring_km,kremlin_km,big_road1_km,railroad_km,area_m,price_doc
73,36.0,1979.0,2,11.0,2013,0.7,2013-04-27,17.0,17.0,1.0,2.890078247,0.251177284,5.862093036,2.680298329,2.285872446,3.130025452,14.82488097,15.56542228,16.93471199,2.223886599,1.881385917,14883622.34,10100000
85,34.0,1979.0,3,0.0,2013,0.7,2013-05-23,13.0,22.0,4.0,4.299244691,0.071322207,13.45717507,9.891581028,1.258676095,4.329687853,20.41225915,21.58112346,22.45027177,2.855063456,1.86400693,25536296.81,7574496
53,30.0,1980.0,2,8.0,2013,0.7,2013-05-25,10.0,16.0,1.0,3.564675787,0.188732066,5.880034339,1.038248145,0.777665302,0.16202403,13.2701166,13.85433033,15.34590161,2.116262616,0.619520553,5646405.14,9000000
41,37.0,1979.0,1,1.0,2013,0.7,2013-05-27,13.0,17.0,1.0,5.684602475,0.466993086,18.63424369,9.01785773,3.40786651,5.350486749,23.72456725,24.99604859,25.70176903,4.841626763,1.250000604,21494094.8,4457400
77,41.0,2014.0,3,12.0,2013,0.7,2013-05-27,2.0,17.0,6.0,5.966203153,0.467575683,18.91584437,8.941512657,3.17233376,5.087105994,23.75338812,25.03210973,25.73525569,4.586082038,1.266142006,21494094.8,7011550
45,27.0,1970.0,2,6.0,2013,0.7,2013-05-27,6.0,9.0,1.0,3.852724348,0.214894987,12.85278085,2.926501084,0.583624736,2.477760198,18.6825661,20.07708077,20.72883861,0.833038866,0.931077184,8889466.752,7100000
38,34.0,1979.0,1,10.0,2013,0.7,2013-05-28,3.0,8.0,2.0,17.09458693,1.323748524,7.978435224,4.499860083,3.239006121,0.433538861,18.06563847,19.17984337,19.92881447,1.764398136,5.729233342,66772450.69,4168500
38,20.0,1982.0,1,8.0,2013,0.7,2013-05-28,15.0,16.0,1.0,5.153420183,0.161032068,3.507340688,1.691938547,1.281946679,1.31289827,6.651870972,7.519704109,8.569879617,1.080900767,0.891941852,9629358.472,6450000
63,34.0,2013.0,2,1.0,2013,0.7,2013-05-28,17.0,17.0,4.0,1.923494882,0.035986494,8.837248169,5.599071264,2.215103803,4.778766451,18.41892854,19.27253651,20.54946417,1.905125046,1.214861324,11391678.48,5903808
74,46.0,2004.0,3,9.0,2013,0.7,2013-05-30,12.0,24.0,1.0,3.423982045,0.147008612,3.193451154,1.066129232,0.659439935,0.659439935,11.41802267,12.09552555,13.52929748,2.349729504,0.788791843,3879802.193,12100000
51,30.0,2003.0,2,9.0,2013,0.7,2013-06-01,7.0,17.0,1.0,2.639224317,0.031211515,7.247866502,5.948865778,0.610917576,1.305680802,15.4535183,16.62326978,17.45515929,1.817137318,0.995143964,11324091.93,7700000
77,50.0,1957.0,3,8.0,2013,0.7,2013-06-03,3.0,5.0,2.0,3.130615044,0.093045974,2.595419519,1.092273885,0.375232366,0.375232366,3.145334896,3.872968074,5.200064051,0.449497602,1.427299852,4662813.069,11700000
