Regions,rank
        Республика Тыва,23
        Нижегородская область,23
        Амурская область,23
    Дальневосточный федеральный округ,23
        Камчатский край,23
        Московская область,23
        Город Санкт-Петербург город федерального значения,22
            Ямало-Ненецкий автономный округ (Тюменская область),21
        Республика Татарстан (Татарстан),21
        Челябинская область,20
        Псковская область,20
        Саратовская область,20
        Ульяновская область,20
        Ставропольский край,20
        Республика Мордовия,20
        Вологодская область,20
        Кировская область,20
        Тамбовская область,20
        Ивановская область,20
        Курская область,20
        Республика Ингушетия,19
        Республика Крым,16
        Республика Алтай,16
        Брянская область,15
        Курганская область,15
        Оренбургская область,15
        Смоленская область,15
        Сахалинская область,14
        Республика Саха (Якутия),13
        Город федерального значения Севастополь,13
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),11
    Приволжский федеральный округ,11
        Республика Бурятия,11
    Уральский федеральный округ,11
        Республика Башкортостан,11
    Южный федеральный округ (с 29.07.2016),11
    Сибирский федеральный округ,11
        Тверская область,11
        Мурманская область,11
        Пермский край,11
        Иркутская область,11
        Тульская область,11
            Ненецкий автономный округ (Архангельская область),11
        Томская область,11
        Краснодарский край,10
        Город Москва столица Российской Федерации город федерального значения,9
        Свердловская область,8
            Ханты-Мансийский автономный округ - Югра (Тюменская область),8
        Забайкальский край,8
            Архангельская область (кроме Ненецкого автономного округа),8
        Архангельская область,8
        Новосибирская область,8
        Ленинградская область,8
        Хабаровский край,7
    Центральный федеральный округ,7
    Северо-Западный федеральный округ,7
        Чувашская Республика - Чувашия,6
        Республика Адыгея (Адыгея),6
        Владимирская область,6
        Воронежская область,6
        Калужская область,6
        Липецкая область,6
        Рязанская область,6
        Ярославская область,6
        Республика Карелия,6
        Омская область,6
        Республика Коми,6
        Кемеровская область - Кузбасс,6
        Красноярский край,6
        Удмуртская Республика,6
        Республика Хакасия,6
        Алтайский край,6
        Белгородская область,6
        Ростовская область,6
        Республика Дагестан,6
        Карачаево-Черкесская Республика,6
        Самарская область,6
        Приморский край,5
        Новгородская область,2
        Орловская область,2
        Республика Марий Эл,2
        Еврейская автономная область,2
        Пензенская область,2
        Костромская область,2
        Республика Северная Осетия-Алания,2
        Республика Калмыкия,2
        Кабардино-Балкарская Республика,2
    Северо-Кавказский федеральный округ,2
        Волгоградская область,2
        Астраханская область,2
        Чеченская Республика,2
        Тюменская область,0
        Магаданская область,0
        Калининградская область,0
